Studying/ Homework ,7.29%,15.92%,16.22%,10.86%,8.33%,10.12%,12.50%,9.08%,8.33%,4.61%,2.83%,2.08%,0.00%,5.80%,13.10%,12.05%,8.48%,9.08%,3.87%,1.56%,0.00%,0.00%,1.19%,0.89%,2.53%,8.93%,10.42%,9.38%,5.95%,5.36%,6.55%,3.91%,0.00%,2.53%,10.12%,8.63%,15.33%,7.59%,7.44%,9.23%,6.70%,3.57%,5.51%,10.12%,7.89%,9.52%,11.01%,13.10%,11.16%,4.02%,0.00%,2.71%
Attending classes and labs ,5.56%,4.61%,7.14%,8.48%,9.97%,2.53%,8.18%,9.08%,9.52%,4.76%,2.83%,0.00%,0.00%,3.57%,5.21%,5.36%,4.61%,5.65%,1.34%,0.00%,0.00%,0.00%,0.00%,0.00%,1.04%,3.72%,8.04%,7.44%,1.93%,5.65%,7.74%,3.65%,0.00%,1.04%,3.57%,3.57%,7.14%,5.95%,0.00%,3.27%,5.51%,4.46%,0.89%,7.74%,8.04%,8.33%,8.18%,7.59%,8.04%,6.85%,0.00%,0.00%
Coooking or eating ,3.13%,4.32%,3.72%,4.02%,3.57%,4.02%,4.02%,3.72%,3.13%,3.57%,3.42%,3.13%,3.42%,3.27%,3.72%,3.42%,4.17%,3.72%,3.72%,4.34%,3.57%,3.74%,4.91%,4.76%,3.57%,3.72%,3.42%,3.42%,4.02%,2.83%,3.72%,3.13%,3.13%,3.42%,3.42%,3.27%,3.42%,3.57%,4.17%,3.57%,3.57%,3.87%,3.42%,3.57%,3.42%,2.68%,3.42%,4.17%,2.53%,2.83%,3.13%,4.79%
Grooming ,2.08%,2.98%,2.23%,2.83%,3.13%,2.98%,3.27%,3.27%,2.98%,3.42%,3.87%,3.13%,3.13%,2.68%,3.57%,2.68%,2.68%,2.83%,2.98%,3.30%,2.68%,2.54%,2.83%,3.13%,2.98%,2.68%,2.98%,2.68%,2.83%,2.83%,3.13%,3.39%,2.83%,2.53%,2.68%,3.27%,3.57%,2.23%,2.83%,2.53%,2.23%,2.68%,2.98%,2.38%,3.13%,3.13%,2.98%,2.68%,3.27%,2.23%,2.08%,3.13%
Gaming ,9.03%,8.48%,6.25%,7.89%,6.85%,8.78%,9.52%,10.71%,6.70%,7.74%,9.82%,0.00%,9.23%,14.29%,4.76%,1.64%,4.61%,2.23%,10.71%,6.77%,14.14%,17.19%,12.50%,10.12%,5.21%,10.27%,8.93%,11.16%,13.99%,17.11%,14.88%,19.01%,15.92%,16.96%,19.64%,12.05%,8.04%,3.57%,20.68%,9.67%,7.59%,7.44%,10.57%,4.61%,5.06%,7.59%,2.83%,0.15%,1.93%,4.46%,11.31%,14.79%
Working ,0.69%,5.65%,4.61%,3.13%,3.27%,6.10%,3.42%,4.46%,5.21%,4.17%,8.48%,8.33%,11.46%,4.91%,5.80%,8.18%,7.59%,6.99%,9.52%,10.76%,12.20%,7.92%,10.27%,8.04%,8.93%,3.13%,4.91%,6.10%,1.49%,5.51%,5.06%,7.29%,15.48%,17.86%,5.36%,5.80%,6.55%,6.85%,4.17%,10.27%,12.20%,11.61%,9.82%,8.78%,4.61%,9.67%,12.65%,13.99%,12.20%,14.73%,16.22%,5.63%
Relaxing/ pc/ mobile,24.65%,20.39%,19.94%,18.01%,19.64%,25.89%,19.64%,19.20%,19.35%,25.45%,24.55%,33.33%,27.38%,22.17%,24.40%,27.08%,26.19%,30.65%,23.21%,32.47%,24.85%,26.31%,28.27%,24.70%,26.93%,22.17%,20.83%,17.56%,22.02%,17.86%,16.82%,13.54%,13.54%,16.22%,16.07%,15.18%,16.96%,26.19%,24.26%,16.07%,20.24%,19.20%,23.36%,18.90%,22.02%,16.22%,19.20%,15.92%,15.92%,19.35%,22.92%,18.54%
Learning ,0.00%,1.64%,0.89%,2.08%,2.98%,1.49%,2.38%,3.27%,3.42%,4.46%,5.06%,15.63%,9.08%,4.61%,1.49%,1.34%,3.72%,0.45%,0.45%,4.17%,1.34%,2.09%,0.89%,1.93%,3.42%,3.87%,1.19%,1.64%,0.74%,1.64%,0.60%,2.34%,2.98%,5.21%,1.64%,5.21%,1.93%,4.61%,0.89%,2.68%,4.32%,4.32%,3.42%,1.34%,2.68%,2.98%,1.04%,5.21%,1.64%,1.49%,2.23%,3.13%
Meetings,3.82%,2.08%,2.98%,3.27%,1.93%,2.83%,2.68%,1.93%,1.79%,5.95%,2.23%,8.33%,0.89%,2.83%,1.93%,2.08%,2.53%,3.57%,4.61%,5.56%,5.80%,2.09%,4.76%,5.95%,2.98%,1.64%,1.34%,2.98%,5.06%,2.38%,4.02%,3.13%,5.95%,1.19%,2.38%,8.04%,4.61%,5.36%,3.42%,3.42%,1.19%,1.49%,2.68%,3.27%,4.17%,2.23%,2.68%,0.60%,1.04%,0.74%,2.23%,2.50%
Exercises,1.74%,2.23%,2.08%,3.57%,3.27%,1.19%,3.42%,2.98%,2.68%,2.38%,2.68%,0.00%,0.89%,2.08%,1.64%,1.49%,2.08%,1.93%,0.45%,0.52%,0.89%,1.20%,0.45%,1.04%,0.89%,1.64%,1.79%,1.64%,1.64%,1.34%,1.79%,1.04%,0.60%,1.19%,0.89%,0.74%,0.15%,0.00%,0.15%,1.79%,1.19%,0.74%,0.45%,1.93%,1.34%,1.79%,1.19%,1.49%,2.53%,0.30%,0.00%,0.63%
Books,1.74%,0.00%,0.45%,0.00%,1.19%,2.23%,0.15%,0.45%,1.19%,2.68%,2.08%,0.00%,5.51%,0.00%,4.17%,3.72%,2.38%,3.13%,5.65%,0.69%,4.76%,7.62%,5.95%,9.52%,6.70%,3.87%,4.91%,5.21%,6.25%,4.61%,3.72%,1.56%,1.93%,2.83%,2.38%,2.98%,3.72%,3.27%,5.95%,4.02%,4.91%,7.44%,4.02%,6.40%,4.46%,5.51%,5.65%,5.51%,6.25%,5.21%,5.80%,6.67%
Transportation ,3.82%,4.17%,4.32%,5.51%,6.10%,2.23%,4.91%,5.95%,6.40%,5.06%,5.80%,0.00%,0.00%,5.06%,3.42%,3.27%,3.72%,4.02%,0.45%,0.00%,0.00%,0.00%,0.00%,0.00%,0.89%,2.83%,4.02%,2.98%,0.60%,2.98%,4.02%,9.90%,5.95%,1.19%,1.64%,1.49%,2.38%,1.34%,0.00%,2.38%,2.53%,2.83%,2.83%,4.17%,3.57%,2.98%,1.79%,2.68%,3.13%,3.87%,0.60%,3.33%
Others ,2.78%,4.32%,3.42%,3.42%,4.61%,3.42%,3.13%,3.27%,4.46%,2.98%,1.79%,1.04%,2.53%,2.08%,2.23%,1.93%,2.98%,2.23%,2.38%,1.39%,2.68%,2.99%,2.68%,1.64%,2.83%,2.23%,2.83%,3.42%,5.65%,6.40%,5.51%,7.55%,5.06%,4.32%,7.59%,7.44%,4.61%,5.95%,3.72%,6.70%,5.06%,4.17%,4.46%,5.06%,4.46%,4.32%,3.72%,3.42%,6.40%,8.48%,7.14%,8.96%
Total ,,,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Books ,x,x,x,x,The power of your subconscious mind ,,x,How to talk to anyone ,,,x,emotional intelligence,,,,,think and grow rich ,,,x,1984,,x,সেই সময় ,,,,,,The art of thinking clearly ,,x,dark psychology and manipulation,,,x,Atomic habits ,,সিরাজদ্দৌলা,,"তাহার জন্য আর কোন চিন্তা নেই,  রবোনগরী",শেষ বিকেলের মেয়ে,Read people like book ,The Psychology of Money,,richest man of babylon,The art of reading minds ,The art of war ,Ikigai ,Rich dad poor dad,,Jane Eyer
Domestic Earned ,৳255.00,-৳440.00,"-৳14,730.00","-৳2,400.00","৳19,577.00","৳5,015.00","-৳9,260.00",-৳304.00,-৳548.00,"-৳1,621.00",-৳480.00,"-৳7,271.00","৳8,050.00","৳2,755.00","-৳2,750.00","-৳7,650.00","৳7,536.00","-৳3,810.00","৳7,200.00",৳705.00,-৳60.00,-৳430.00,৳530.00,"-৳1,135.00",-৳185.00,"-৳18,115.00","৳19,545.00",৳110.00,-৳694.00,৳266.00,-৳428.00,-৳890.00,৳485.00,৳675.00,৳225.00,-৳695.00,-৳205.00,৳60.00,-৳310.00,"-৳7,310.00","৳8,095.00","৳1,300.00",-৳65.00,-৳250.00,৳265.00,৳190.00,৳355.00,৳50.00,৳415.00,৳606.00,৳497.00,৳725.00
